ref_date,geo,labour_force_characteristics,uom,value
1976-08,Newfoundland and Labrador,Unemployment rate,Percent,12.1
1976-08,Prince Edward Island,Population,Persons in thousands,83
1976-08,Prince Edward Island,Unemployment rate,Percent,7.3
1976-08,Nova Scotia,Population,Persons in thousands,591.8
1976-08,Nova Scotia,Unemployment rate,Percent,8.8
1976-08,New Brunswick,Population,Persons in thousands,483.6
1976-08,New Brunswick,Unemployment rate,Percent,9
1976-08,Ontario,Population,Persons in thousands,6225.6
1976-08,Ontario,Unemployment rate,Percent,5.6
1976-08,Manitoba,Population,Persons in thousands,738.9
1976-08,Manitoba,Unemployment rate,Percent,3.8
1976-08,Saskatchewan,Population,Persons in thousands,659.4
1976-08,Saskatchewan,Unemployment rate,Percent,4.2
1976-08,Alberta,Population,Persons in thousands,1334.5
1976-08,Alberta,Unemployment rate,Percent,3.6
1976-08,British Columbia,Population,Persons in thousands,1882.8
1976-08,British Columbia,Unemployment rate,Percent,7.7
1976-09,Newfoundland and Labrador,Population,Persons in thousands,372.1
1976-09,Newfoundland and Labrador,Unemployment rate,Percent,11.3
1976-09,Prince Edward Island,Population,Persons in thousands,83.2
1976-09,Prince Edward Island,Unemployment rate,Percent,6.7
1976-09,Nova Scotia,Population,Persons in thousands,592.5
1976-09,Nova Scotia,Unemployment rate,Percent,8.5
1976-09,New Brunswick,Population,Persons in thousands,484.3
1976-09,New Brunswick,Unemployment rate,Percent,9
1976-09,Ontario,Population,Persons in thousands,6235.4
1976-09,Ontario,Unemployment rate,Percent,5.2
1976-09,Manitoba,Population,Persons in thousands,739.7
1976-09,Manitoba,Unemployment rate,Percent,4.1
1976-09,Saskatchewan,Population,Persons in thousands,660.6
1976-09,Saskatchewan,Unemployment rate,Percent,2.7
1976-09,Alberta,Population,Persons in thousands,1341.1
1976-09,Alberta,Unemployment rate,Percent,3.4
1976-09,British Columbia,Population,Persons in thousands,1886.2
1976-09,British Columbia,Unemployment rate,Percent,7.7
1976-10,Newfoundland and Labrador,Population,Persons in thousands,372.4
1976-10,Newfoundland and Labrador,Unemployment rate,Percent,12.1
1976-10,Prince Edward Island,Population,Persons in thousands,83.3
1976-10,Prince Edward Island,Unemployment rate,Percent,7.3
1976-10,Nova Scotia,Population,Persons in thousands,593.4
1976-10,Nova Scotia,Unemployment rate,Percent,8.9
1976-10,New Brunswick,Population,Persons in thousands,485
1976-10,New Brunswick,Unemployment rate,Percent,9.8
1976-10,Ontario,Population,Persons in thousands,6244.9
1976-10,Ontario,Unemployment rate,Percent,5.6
1976-10,Manitoba,Population,Persons in thousands,740.4
1976-10,Manitoba,Unemployment rate,Percent,3.7
1976-10,Saskatchewan,Population,Persons in thousands,661.8
1976-10,Saskatchewan,Unemployment rate,Percent,2.8
1976-10,Alberta,Population,Persons in thousands,1347.7
1976-10,Alberta,Unemployment rate,Percent,3.5
1976-10,British Columbia,Population,Persons in thousands,1889.7
1976-10,British Columbia,Unemployment rate,Percent,7
1976-11,Newfoundland and Labrador,Population,Persons in thousands,372.9
1976-11,Newfoundland and Labrador,Unemployment rate,Percent,14
1976-11,Prince Edward Island,Population,Persons in thousands,83.4
1976-11,Prince Edward Island,Unemployment rate,Percent,8.5
1976-11,Nova Scotia,Population,Persons in thousands,593.9
1976-11,Nova Scotia,Unemployment rate,Percent,10
1976-11,New Brunswick,Population,Persons in thousands,485.7
1976-11,New Brunswick,Unemployment rate,Percent,11
1976-11,Ontario,Population,Persons in thousands,6254.3
1976-11,Ontario,Unemployment rate,Percent,5.7
1976-11,Manitoba,Population,Persons in thousands,741.2
1976-11,Manitoba,Unemployment rate,Percent,4.5
1976-11,Saskatchewan,Population,Persons in thousands,662.8
1976-11,Saskatchewan,Unemployment rate,Percent,2.9
1976-11,Alberta,Population,Persons in thousands,1354
1976-11,Alberta,Unemployment rate,Percent,3.8
1976-11,British Columbia,Population,Persons in thousands,1893.1
1976-11,British Columbia,Unemployment rate,Percent,7.7
1976-12,Newfoundland and Labrador,Population,Persons in thousands,373.2
1976-12,Newfoundland and Labrador,Unemployment rate,Percent,13.5
1976-12,Prince Edward Island,Population,Persons in thousands,83.6
1976-12,Prince Edward Island,Unemployment rate,Percent,8
1976-12,Nova Scotia,Population,Persons in thousands,594.4
1976-12,Nova Scotia,Unemployment rate,Percent,9.6
1976-12,New Brunswick,Population,Persons in thousands,486.3
1976-12,New Brunswick,Unemployment rate,Percent,11.9
1976-12,Ontario,Population,Persons in thousands,6263.6
1976-12,Ontario,Unemployment rate,Percent,6.2
1976-12,Manitoba,Population,Persons in thousands,742
1976-12,Manitoba,Unemployment rate,Percent,5.1
1976-12,Saskatchewan,Population,Persons in thousands,663.8
1976-12,Saskatchewan,Unemployment rate,Percent,3.4
1976-12,Alberta,Population,Persons in thousands,1359.8
1976-12,Alberta,Unemployment rate,Percent,3.8
1976-12,British Columbia,Population,Persons in thousands,1896.3
1976-12,British Columbia,Unemployment rate,Percent,7.9
1977-01,Newfoundland and Labrador,Population,Persons in thousands,373.5
1977-01,Newfoundland and Labrador,Unemployment rate,Percent,16.3
1977-01,Prince Edward Island,Population,Persons in thousands,83.7
1977-01,Prince Edward Island,Unemployment rate,Percent,10.3
1977-01,Nova Scotia,Population,Persons in thousands,595.1
1977-01,Nova Scotia,Unemployment rate,Percent,10.8
1977-01,New Brunswick,Population,Persons in thousands,487.1
1977-01,New Brunswick,Unemployment rate,Percent,14.4
1977-01,Ontario,Population,Persons in thousands,6275
1977-01,Ontario,Unemployment rate,Percent,7.5
1977-01,Manitoba,Population,Persons in thousands,742.8
1977-01,Manitoba,Unemployment rate,Percent,6.4
1977-01,Saskatchewan,Population,Persons in thousands,665.1
1977-01,Saskatchewan,Unemployment rate,Percent,4.6
1977-01,Alberta,Population,Persons in thousands,1366.4
1977-01,Alberta,Unemployment rate,Percent,5.6
1977-01,British Columbia,Population,Persons in thousands,1900.2
1977-01,British Columbia,Unemployment rate,Percent,9.9
1977-02,Newfoundland and Labrador,Population,Persons in thousands,374.1
1977-02,Newfoundland and Labrador,Unemployment rate,Percent,16.2
1977-02,Prince Edward Island,Population,Persons in thousands,83.8
1977-02,Prince Edward Island,Unemployment rate,Percent,12.3
1977-02,Nova Scotia,Population,Persons in thousands,595.7
1977-02,Nova Scotia,Unemployment rate,Percent,12.7
1977-02,New Brunswick,Population,Persons in thousands,487.9
1977-02,New Brunswick,Unemployment rate,Percent,15
1977-02,Ontario,Population,Persons in thousands,6286.2
1977-02,Ontario,Unemployment rate,Percent,7.9
1977-02,Manitoba,Population,Persons in thousands,743.8
1977-02,Manitoba,Unemployment rate,Percent,6.3
1977-02,Saskatchewan,Population,Persons in thousands,666.3
1977-02,Saskatchewan,Unemployment rate,Percent,5
1977-02,Alberta,Population,Persons in thousands,1372.6
1977-02,Alberta,Unemployment rate,Percent,5
1977-02,British Columbia,Population,Persons in thousands,1904
1977-02,British Columbia,Unemployment rate,Percent,8.8
1977-03,Newfoundland and Labrador,Population,Persons in thousands,374.5
1977-03,Newfoundland and Labrador,Unemployment rate,Percent,17.4
1977-03,Prince Edward Island,Population,Persons in thousands,83.9
1977-03,Prince Edward Island,Unemployment rate,Percent,12
1977-03,Nova Scotia,Population,Persons in thousands,596.4
1977-03,Nova Scotia,Unemployment rate,Percent,12.6
1977-03,New Brunswick,Population,Persons in thousands,488.3
1977-03,New Brunswick,Unemployment rate,Percent,16.1
1977-03,Ontario,Population,Persons in thousands,6296.2
1977-03,Ontario,Unemployment rate,Percent,7.8
1977-03,Manitoba,Population,Persons in thousands,744.3
1977-03,Manitoba,Unemployment rate,Percent,6.4
1977-03,Saskatchewan,Population,Persons in thousands,667.3
1977-03,Saskatchewan,Unemployment rate,Percent,5.7
1977-03,Alberta,Population,Persons in thousands,1377.4
1977-03,Alberta,Unemployment rate,Percent,5.5
1977-03,British Columbia,Population,Persons in thousands,1907.2
1977-03,British Columbia,Unemployment rate,Percent,8.7
1977-04,Newfoundland and Labrador,Population,Persons in thousands,374.9
1977-04,Newfoundland and Labrador,Unemployment rate,Percent,18.7
1977-04,Prince Edward Island,Population,Persons in thousands,84.1
1977-04,Prince Edward Island,Unemployment rate,Percent,12.8
1977-04,Nova Scotia,Population,Persons in thousands,596.9
1977-04,Nova Scotia,Unemployment rate,Percent,12.3
1977-04,New Brunswick,Population,Persons in thousands,489.1
1977-04,New Brunswick,Unemployment rate,Percent,15.2
1977-04,Ontario,Population,Persons in thousands,6306.9
1977-04,Ontario,Unemployment rate,Percent,7.6
1977-04,Manitoba,Population,Persons in thousands,745.4
1977-04,Manitoba,Unemployment rate,Percent,6.4
1977-04,Saskatchewan,Population,Persons in thousands,668.4
1977-04,Saskatchewan,Unemployment rate,Percent,5.5
1977-04,Alberta,Population,Persons in thousands,1382.9
1977-04,Alberta,Unemployment rate,Percent,4.8
1977-04,British Columbia,Population,Persons in thousands,1910.4
1977-04,British Columbia,Unemployment rate,Percent,9.4
1977-05,Newfoundland and Labrador,Population,Persons in thousands,375.5
1977-05,Newfoundland and Labrador,Unemployment rate,Percent,15.1
1977-05,Prince Edward Island,Population,Persons in thousands,84.3
1977-05,Prince Edward Island,Unemployment rate,Percent,9.3
1977-05,Nova Scotia,Population,Persons in thousands,597.8
1977-05,Nova Scotia,Unemployment rate,Percent,10.2
1977-05,New Brunswick,Population,Persons in thousands,490
1977-05,New Brunswick,Unemployment rate,Percent,13.8
1977-05,Ontario,Population,Persons in thousands,6319.8
1977-05,Ontario,Unemployment rate,Percent,6.8
1977-05,Manitoba,Population,Persons in thousands,746.4
1977-05,Manitoba,Unemployment rate,Percent,4.9
1977-05,Saskatchewan,Population,Persons in thousands,669.7
1977-05,Saskatchewan,Unemployment rate,Percent,4.1
1977-05,Alberta,Population,Persons in thousands,1389.7
1977-05,Alberta,Unemployment rate,Percent,4
1977-05,British Columbia,Population,Persons in thousands,1914.6
1977-05,British Columbia,Unemployment rate,Percent,7.5
1977-06,Newfoundland and Labrador,Population,Persons in thousands,376
1977-06,Newfoundland and Labrador,Unemployment rate,Percent,14.1
1977-06,Prince Edward Island,Population,Persons in thousands,84.4
1977-06,Prince Edward Island,Unemployment rate,Percent,7.2
1977-06,Nova Scotia,Population,Persons in thousands,598.4
1977-06,Nova Scotia,Unemployment rate,Percent,9.4
1977-06,New Brunswick,Population,Persons in thousands,490.5
1977-06,New Brunswick,Unemployment rate,Percent,11.8
1977-06,Ontario,Population,Persons in thousands,6330.4
1977-06,Ontario,Unemployment rate,Percent,6.7
1977-06,Manitoba,Population,Persons in thousands,747.2
1977-06,Manitoba,Unemployment rate,Percent,4.7
1977-06,Saskatchewan,Population,Persons in thousands,670.5
1977-06,Saskatchewan,Unemployment rate,Percent,3.5
1977-06,Alberta,Population,Persons in thousands,1395.4
1977-06,Alberta,Unemployment rate,Percent,3.4
1977-06,British Columbia,Population,Persons in thousands,1918.5
1977-06,British Columbia,Unemployment rate,Percent,7.9
1977-07,Newfoundland and Labrador,Population,Persons in thousands,376.6
1977-07,Newfoundland and Labrador,Unemployment rate,Percent,14.2
1977-07,Prince Edward Island,Population,Persons in thousands,84.7
1977-07,Prince Edward Island,Unemployment rate,Percent,8.5
1977-07,Nova Scotia,Population,Persons in thousands,599
1977-07,Nova Scotia,Unemployment rate,Percent,9.8
1977-07,New Brunswick,Population,Persons in thousands,491
1977-07,New Brunswick,Unemployment rate,Percent,11.8
1977-07,Ontario,Population,Persons in thousands,6341
1977-07,Ontario,Unemployment rate,Percent,6.7
1977-07,Manitoba,Population,Persons in thousands,747.8
1977-07,Manitoba,Unemployment rate,Percent,5.4
1977-07,Saskatchewan,Population,Persons in thousands,671.5
1977-07,Saskatchewan,Unemployment rate,Percent,4.5
1977-07,Alberta,Population,Persons in thousands,1401.3
1977-07,Alberta,Unemployment rate,Percent,4.4
1977-07,British Columbia,Population,Persons in thousands,1922.3
1977-07,British Columbia,Unemployment rate,Percent,8.3
1977-08,Newfoundland and Labrador,Population,Persons in thousands,377
1977-08,Newfoundland and Labrador,Unemployment rate,Percent,13.5
1977-08,Prince Edward Island,Population,Persons in thousands,84.8
1977-08,Prince Edward Island,Unemployment rate,Percent,7.7
1977-08,Nova Scotia,Population,Persons in thousands,600.1
1977-08,Nova Scotia,Unemployment rate,Percent,9.1
1977-08,New Brunswick,Population,Persons in thousands,491.8
1977-08,New Brunswick,Unemployment rate,Percent,11.4
1977-08,Ontario,Population,Persons in thousands,6355.6
1977-08,Ontario,Unemployment rate,Percent,6.6
1977-08,Manitoba,Population,Persons in thousands,748.4
1977-08,Manitoba,Unemployment rate,Percent,5.1
1977-08,Saskatchewan,Population,Persons in thousands,672.7
1977-08,Saskatchewan,Unemployment rate,Percent,3.9
1977-08,Alberta,Population,Persons in thousands,1409.5
1977-08,Alberta,Unemployment rate,Percent,4.1
1977-08,British Columbia,Population,Persons in thousands,1927.6
1977-08,British Columbia,Unemployment rate,Percent,8
1977-09,Newfoundland and Labrador,Population,Persons in thousands,377.6
1977-09,Newfoundland and Labrador,Unemployment rate,Percent,13.9
1977-09,Prince Edward Island,Population,Persons in thousands,85.1
1977-09,Prince Edward Island,Unemployment rate,Percent,6.9
1977-09,Nova Scotia,Population,Persons in thousands,600.8
1977-09,Nova Scotia,Unemployment rate,Percent,9.4
1977-09,New Brunswick,Population,Persons in thousands,492.5
1977-09,New Brunswick,Unemployment rate,Percent,11.4
1977-09,Ontario,Population,Persons in thousands,6366.8
1977-09,Ontario,Unemployment rate,Percent,6.4
1977-09,Manitoba,Population,Persons in thousands,749
1977-09,Manitoba,Unemployment rate,Percent,5
1977-09,Saskatchewan,Population,Persons in thousands,673.8
1977-09,Saskatchewan,Unemployment rate,Percent,3.3
1977-09,Alberta,Population,Persons in thousands,1415.6
1977-09,Alberta,Unemployment rate,Percent,3.9
1977-09,British Columbia,Population,Persons in thousands,1932
1977-09,British Columbia,Unemployment rate,Percent,7.6
1977-10,Newfoundland and Labrador,Population,Persons in thousands,378
1977-10,Newfoundland and Labrador,Unemployment rate,Percent,14.5
1977-10,Prince Edward Island,Population,Persons in thousands,85.2
1977-10,Prince Edward Island,Unemployment rate,Percent,7.9
1977-10,Nova Scotia,Population,Persons in thousands,601.6
1977-10,Nova Scotia,Unemployment rate,Percent,9
1977-10,New Brunswick,Population,Persons in thousands,493.1
1977-10,New Brunswick,Unemployment rate,Percent,11.7
1977-10,Ontario,Population,Persons in thousands,6377.3
1977-10,Ontario,Unemployment rate,Percent,6
1977-10,Manitoba,Population,Persons in thousands,749.8
1977-10,Manitoba,Unemployment rate,Percent,4.8
1977-10,Saskatchewan,Population,Persons in thousands,674.6
1977-10,Saskatchewan,Unemployment rate,Percent,3.4
1977-10,Alberta,Population,Persons in thousands,1421.5
1977-10,Alberta,Unemployment rate,Percent,4
1977-10,British Columbia,Population,Persons in thousands,1936.4
1977-10,British Columbia,Unemployment rate,Percent,7.8
1977-11,Newfoundland and Labrador,Population,Persons in thousands,378.5
1977-11,Newfoundland and Labrador,Unemployment rate,Percent,16.2
1977-11,Prince Edward Island,Population,Persons in thousands,85.4
1977-11,Prince Edward Island,Unemployment rate,Percent,10.3
1977-11,Nova Scotia,Population,Persons in thousands,602.5
1977-11,Nova Scotia,Unemployment rate,Percent,9.7
1977-11,New Brunswick,Population,Persons in thousands,493.9
1977-11,New Brunswick,Unemployment rate,Percent,13.3
1977-11,Ontario,Population,Persons in thousands,6387.2
1977-11,Ontario,Unemployment rate,Percent,6.3
1977-11,Manitoba,Population,Persons in thousands,750.7
1977-11,Manitoba,Unemployment rate,Percent,6.1
1977-11,Saskatchewan,Population,Persons in thousands,675.4
1977-11,Saskatchewan,Unemployment rate,Percent,4.1
1977-11,Alberta,Population,Persons in thousands,1427.1
1977-11,Alberta,Unemployment rate,Percent,4.8
1977-11,British Columbia,Population,Persons in thousands,1941.1
1977-11,British Columbia,Unemployment rate,Percent,8.4
1977-12,Newfoundland and Labrador,Population,Persons in thousands,378.8
1977-12,Newfoundland and Labrador,Unemployment rate,Percent,16.5
1977-12,Prince Edward Island,Population,Persons in thousands,85.6
1977-12,Prince Edward Island,Unemployment rate,Percent,10.5
1977-12,Nova Scotia,Population,Persons in thousands,603
1977-12,Nova Scotia,Unemployment rate,Percent,9.5
1977-12,New Brunswick,Population,Persons in thousands,494.5
1977-12,New Brunswick,Unemployment rate,Percent,14.3
1977-12,Ontario,Population,Persons in thousands,6396.3
1977-12,Ontario,Unemployment rate,Percent,6.7
1977-12,Manitoba,Population,Persons in thousands,751.4
1977-12,Manitoba,Unemployment rate,Percent,6.6
1977-12,Saskatchewan,Population,Persons in thousands,676.2
1977-12,Saskatchewan,Unemployment rate,Percent,5.1
1977-12,Alberta,Population,Persons in thousands,1432.2
1977-12,Alberta,Unemployment rate,Percent,4.6
1977-12,British Columbia,Population,Persons in thousands,1945.1
1977-12,British Columbia,Unemployment rate,Percent,7.9
1978-01,Newfoundland and Labrador,Population,Persons in thousands,379.3
1978-01,Newfoundland and Labrador,Unemployment rate,Percent,17.2
1978-01,Prince Edward Island,Population,Persons in thousands,85.7
1978-01,Prince Edward Island,Unemployment rate,Percent,11.8
1978-01,Nova Scotia,Population,Persons in thousands,604
1978-01,Nova Scotia,Unemployment rate,Percent,11.2
1978-01,New Brunswick,Population,Persons in thousands,495.2
1978-01,New Brunswick,Unemployment rate,Percent,14.1
1978-01,Ontario,Population,Persons in thousands,6407.2
1978-01,Ontario,Unemployment rate,Percent,7.7
1978-01,Manitoba,Population,Persons in thousands,752.2
1978-01,Manitoba,Unemployment rate,Percent,7.7
1978-01,Saskatchewan,Population,Persons in thousands,677.1
1978-01,Saskatchewan,Unemployment rate,Percent,6.2
1978-01,Alberta,Population,Persons in thousands,1438.5
1978-01,Alberta,Unemployment rate,Percent,5.6
1978-01,British Columbia,Population,Persons in thousands,1949.8
1978-01,British Columbia,Unemployment rate,Percent,9.8
1978-02,Newfoundland and Labrador,Population,Persons in thousands,379.8
1978-02,Newfoundland and Labrador,Unemployment rate,Percent,17.3
1978-02,Prince Edward Island,Population,Persons in thousands,85.9
1978-02,Prince Edward Island,Unemployment rate,Percent,11.3
1978-02,Nova Scotia,Population,Persons in thousands,604.8
1978-02,Nova Scotia,Unemployment rate,Percent,11.7
1978-02,New Brunswick,Population,Persons in thousands,495.9
1978-02,New Brunswick,Unemployment rate,Percent,15.3
1978-02,Ontario,Population,Persons in thousands,6418.3
1978-02,Ontario,Unemployment rate,Percent,7.8
1978-02,Manitoba,Population,Persons in thousands,752.9
1978-02,Manitoba,Unemployment rate,Percent,7.7
1978-02,Saskatchewan,Population,Persons in thousands,678
1978-02,Saskatchewan,Unemployment rate,Percent,6.2
1978-02,Alberta,Population,Persons in thousands,1444.4
1978-02,Alberta,Unemployment rate,Percent,5.8
1978-02,British Columbia,Population,Persons in thousands,1953.4
1978-02,British Columbia,Unemployment rate,Percent,9.3
1978-03,Newfoundland and Labrador,Population,Persons in thousands,380.1
1978-03,Newfoundland and Labrador,Unemployment rate,Percent,18.8
1978-03,Prince Edward Island,Population,Persons in thousands,86
1978-03,Prince Edward Island,Unemployment rate,Percent,11.9
1978-03,Nova Scotia,Population,Persons in thousands,605.5
1978-03,Nova Scotia,Unemployment rate,Percent,13
1978-03,New Brunswick,Population,Persons in thousands,496.4
1978-03,New Brunswick,Unemployment rate,Percent,15.3
1978-03,Ontario,Population,Persons in thousands,6427.6
1978-03,Ontario,Unemployment rate,Percent,8.3
1978-03,Manitoba,Population,Persons in thousands,753.5
1978-03,Manitoba,Unemployment rate,Percent,7.7
1978-03,Saskatchewan,Population,Persons in thousands,678.5
1978-03,Saskatchewan,Unemployment rate,Percent,6.9
1978-03,Alberta,Population,Persons in thousands,1449.5
1978-03,Alberta,Unemployment rate,Percent,5.8
1978-03,British Columbia,Population,Persons in thousands,1956.6
1978-03,British Columbia,Unemployment rate,Percent,9
1978-04,Newfoundland and Labrador,Population,Persons in thousands,380.5
1978-04,Newfoundland and Labrador,Unemployment rate,Percent,19.9
1978-04,Prince Edward Island,Population,Persons in thousands,86.2
1978-04,Prince Edward Island,Unemployment rate,Percent,14.5
1978-04,Nova Scotia,Population,Persons in thousands,606.3
1978-04,Nova Scotia,Unemployment rate,Percent,12.8
1978-04,New Brunswick,Population,Persons in thousands,497
1978-04,New Brunswick,Unemployment rate,Percent,16
1978-04,Ontario,Population,Persons in thousands,6437.5
1978-04,Ontario,Unemployment rate,Percent,7.9
1978-04,Manitoba,Population,Persons in thousands,754.2
1978-04,Manitoba,Unemployment rate,Percent,6.9
1978-04,Saskatchewan,Population,Persons in thousands,679.3
1978-04,Saskatchewan,Unemployment rate,Percent,6
1978-04,Alberta,Population,Persons in thousands,1454.5
1978-04,Alberta,Unemployment rate,Percent,5.6
